Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Nikka Coffey Malt Old Fashioned,Whisky,Lemon Peel,Old Fashioned Glass,N/A,Nikka Coffey Malt Whisky,2.5 oz,Demerara Syrup,0.5 oz,Tempus Fugit Abbott'S Bitters,4 dash,,,,,,,,,,,,,,,,,,,,,"1: In An Old Fashioned Glass, Muddle The Lemon Peel With The Bitters And Demerara Syrup, Just Enough To Bruise The Peel And Release Its Oils.","2: Add Coffey Malt And Ice, And Stir For 20 To 30 Seconds, Or Until Well Chilled.",,,,,,,,,,,,,,,,,,,,,
Nikka Earl Grey,Whisky,N/A,Rocks Glass,Location: Washington DC,Nikka Whisky Taketsuru Pure Malt 12 Yo,2.5 oz,Honey,0.5 oz,Earl Grey Syrup,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir Over Ice And Serve In A Rocks Glass.,,,,,,,,,,,,,,,,,,,,,,
Nikka's Golden Cherry,Whisky,N/A,Cocktail Glass,"Bartender: Torrence Swain, Location: Washington DC",Nikka Coffey Grain Whisky,2 oz,Luxardo Maraschino Liqueur,0.5 oz,Dry Vermouth Infusion,0.75 oz,Bittermens Burlesque Bitters,2 dash,,,,,,,,,,,,,,,,,,,1: Stir Ingredients Over Cracked Ice.,"2: With A Julep Strainer, Pour Into A Chilled Cocktail Glass.","3: Once Poured, Top With Lemon Foam.",4: Dry Vermouth Infusion: -- 1.,5: 5 Oz Togarashi Spice -- 3 Vanilla Beans -- 2 Bags Of Green Tea Place Ingredients In Cheesecloth To Steep In A Bell Jar With 1 Bottle Of Dolin Dry Vermouth For 2 Days.,6: Remove The Infusion Elements And Refrigerate The Infusion.,7: Lemon Foam: -- 1 Bsp Lemon Juice -- 1 Bsp Simple Syrup -- 1 Egg White  Place Ingredients Into A Shaker Tin And Whip With A Bar Whisk Into A Foam.,,,,,,,,,,,,,,,,
Nineteenth Hole,Gin,N/A,Cocktail Glass,N/A,Gin,1.5 oz,Dry Vermouth,1 oz,Sweet Vermouth,1 oz,Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass.,2: Garnish with an olive.,,,,,,,,,,,,,,,,,,,,,
Ninotchka Cocktail,Vodka,N/A,Cocktail Glass,N/A,Vodka,1.5 oz,White Creme De Cacao,0.5 oz,Fresh Lemon Juice,0.25 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
No. 8,Tequila,N/A,Cocktail Glass,N/A,Reposado Tequila,2 oz,Palo Cortado Or Oloroso Sherry,0.75 oz,Honey Liqueur,0.5 oz,Orange Bitters,2 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Garnish with lemon twist.,,,,,,,,,,,,,,,,,,,,,
No.3 & T,Gin,N/A,Rocks Glass,N/A,No.3 London Dry Gin,1.5 oz,Lemon Lemon,1,Fill Tonic Water,1,,,,,,,,,,,,,,,,,,,,,1: Pour No.,2: 3 Gin Into A Highball Glass Over Ice Cubes.,3: Add A Slice Of Lemon And Stir.,4: Top Up With Tonic Water To Taste.,,,,,,,,,,,,,,,,,,,
No.3 Bramble,Gin,Blackberry Or Mint,Rocks Glass,N/A,No.3 London Dry Gin,1.5 oz,Fresh Lemon Juice,0.5 oz,Briottet Creme De Mure (Blackberry),0.5 oz,Pages Elderflower Syrup,0.25 oz,Angostura Bitters (Optional),1 dash,,,,,,,,,,,,,,,,,1: Shake All Ingredients Well In Cocktail Shaker.,2: Strain Into Ice Filled Rock Glass.,3: Top With Soda.,,,,,,,,,,,,,,,,,,,,
No.3 Negroni,Gin,"Orange Zest, Lemon Zest",N/A,N/A,No.3 London Dry Gin,1 oz,Tempus Fugit Alessio Vermouth Di Torino Rosso,1 oz,Luxardo Bitter,1 oz,,,,,,,,,,,,,,,,,,,,,1: Mix All The Liquid Contents Together In A Heavy-Bottomed Tumbler With Ice.,2: Stir.,3: Add A Slice Of Orange And Lemon Zest To Decorate.,,,,,,,,,,,,,,,,,,,,
Nola '75,Gin,N/A,Champagne Flute Glass,"Bar: Jazz Kitchen , Location: New Orleans",Junipero Gin,1.25 oz,Pages Elderflower Syrup,0.5 oz,Fresh Lemon Juice,0.5 oz,Champagne (Sparkling Wine),oz,,,,,,,,,,,,,,,,,,,1: Shake First Three Ingredients In An Ice-Filled Cocktail Shaker.,2: Strain Into A Chilled Serving Glass.,"3: Top With Chilled Champagne, Or Sparkling Wine.",,,,,,,,,,,,,,,,,,,,
Nori & Islay,Gin,Picked Cucumber Ribbon,Nick & Nora Glass,"Bartender: Anthony Parks, Bar: Mourad, Location: San Francisco",Junipero Gin,1.5 oz,Nori-Infused Sake,1.5 oz,Celery Bitters,1 dash,Islay Scotch,3 dash,,,,,,,,,,,,,,,,,,,"1: Combine All Ingredients In A Mixing Glass, Stir, And Strain Into A Chilled Nick & Nora Glass.",2: Garnish With A Picked Cucumber Ribbon.,"3: Nori-Infused Sake:  -- Ginjo Sake -- Nori Seaweed Sheet  Using An Oji Style Cold Brew Coffee Maker, Drip Ginjo Sake Through A 0.",4: 5 Gram Of Nori Seaweed Sheet That Has Been Hand-Shredded.,5: It Takes 3 Hours To Infuse A 750 Ml Bottle.,,,,,,,,,,,,,,,,,,
North Pole Cocktail,Gin,N/A,Cocktail Glass,N/A,Egg White,1 oz,Lemon Juice,0.5 oz,Maraschino,0.5 oz,Gin,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,2: Top with whipped cream.,,,,,,,,,,,,,,,,,,,,,
Northern Hemisphere (Nikka 12 Edition),Whisky,Lemon Wheel With Umbrella,N/A,"Bartender: John deBarry, Bar: Momofuku",Nikka Whisky Taketsuru Pure Malt 12 Yo,2 oz,English Harbour Rum,1 oz,The Genuine Curacao Liqueur Clear,0.75 oz,Lemon Juice,0.75 oz,Pineapple Juice,0.75 oz,Grenadine,0.75 oz,,,,,,,,,,,,,,,1: Shake - Pebble/Crushed Ice.,,,,,,,,,,,,,,,,,,,,,,
Nuestra Julep,Whisky,Basil Leaf,N/A,"Bartender: David Ruiz, Bar: Padrecito, Location: San Francisco",High West Oat Whisky,1 oz,King'S Ginger Liqueur,0.5 oz,Peach Shrub,0.5 oz,Lime,0.75 oz,Angostura Bitters,1 dash,Grapefruit Bitters,1 dash,,,,,,,,,,,,,,,1: Add All Ingredients Together.,,,,,,,,,,,,,,,,,,,,,,
OH Snap!,Gin,N/A,Collins Glass,"Bartender: Kevin Diedrich, Bar: Pacific Cocktail Haven, Location: San Francisco",Junipero Gin,1 oz,House-Made Simple Syrup,1 oz,Manzanilla Sherry,1 oz,Lemon Juice,0.75 oz,Absinthe,2 dash,,,,,,,,,,,,,,,,,1: Add 6-8 Sugar Snap Peas To Cocktail Shaker.,2: Lightly Muddle The Peas.,3: Add All Other Ingredients Except For The Tonic.,4: Shake And Double Strain Into A Collins Glass.,5: Top With Tonic.,"6: House-Made Simple Syrup:  -- 1 Cup Sugar -- 1 Cup Water  Add Equal Parts Sugar And Water Into A Small Saucepan, Bring To A Boil; Simmer Until The Sugar Is Dissolved, Approximately 3 Minutes.","7: Remove From Heat, Let Cool To Room Temperature And Transfer To A Clean Glass Jar.",8: Cover And Keep Refrigerated For Up To 2 Weeks.,,,,,,,,,,,,,,,
Oaxacan Martini,Mezcal,"Xoconostle, Stuffed Castelvetrano Olive",Coupe Glass,"Bartender: Gina Scheurte, Bar: Cala, Location: San Francisco",Mezcal,2 oz,Mandarine Napoleon,0.5 oz,Lime Juice,0.5 oz,Castelvetrano Olive Brine,1 oz,Fennel Bitters,3 dash,,,,,,,,,,,,,,,,,1: Shake All Ingredients For 10-15 Seconds (Over Shaking Will Over Dilute) And Fine Strain Into Chilled Coupe Glass.,2: Garnish With Xoconostle (Sour Prickly Pear) And A Stuffed Castelvetrano Olive.,,,,,,,,,,,,,,,,,,,,,
Obituary Cocktail,Absinthe,N/A,N/A,N/A,Mansinthe Absinthe,0.25 oz,Genevieve Gin,2 oz,Tempus Fugit Alessio Extra Dry Vermouth,0.25 oz,,,,,,,,,,,,,,,,,,,,,1: Stir With Ice.,2: Strain Into A Cocktail Glass.,,,,,,,,,,,,,,,,,,,,,
Ode to Kinshi,Whisky,Red Delicious Apple Slice,Coupe Glass,Bartender: Shaher Misif,Nikka Whisky Yoichi Single Malt 15 Yo,1.5 oz,Cocchi Americano Rosa,0.75 oz,Luxardo Amaro Abano,0.5 oz,Bittermens Xocolatl Mole Bitters,5 dash,,,,,,,,,,,,,,,,,,,1: Place All Ingredients Into A Yarai Mixing Glass With Ice And Stir.,2: Strain Into A Coupe.,3: Garnish With An Apple Slice.,,,,,,,,,,,,,,,,,,,,
Off the Radar,Gin,Lemon Wheel,Collins Glass,N/A,Junipero Gin,1.5 oz,Lemon Juice,0.5 oz,Luxardo Maraschino Liqueur,0.25 oz,Liqueur De Violette,0.25 oz,Tonic Water,3-4 oz,,,,,,,,,,,,,,,,,"1: Add Gin, Lemon Juice, Maraschino Liqueur, And Liqueur De Violette To A Collins Glass Filled With Ice.",2: Add Tonic Water; Stir To Combine.,3: Garnish With A Lemon Wheel.,,,,,,,,,,,,,,,,,,,,
"Oh, Gosh!",Rum,N/A,Cocktail Glass,N/A,Light Rum,1.5 oz,Triple Sec,1.5 oz,Fresh Lime Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Add lemon twist.,,,,,,,,,,,,,,,,,,,,,
Old Tom and The Sea,Gin,"Lemon, Cherry Flag",N/A,Bartender: Kelly McCarthy,Old Tom Gin,1.5 oz,Tempus Fugit Alessio Vermouth Bianco,1 oz,Luxardo Sangue Morlacco Cherry Liqueur,0.5 oz,Lemon Juice,0.5 oz,,,,,,,,,,,,,,,,,,,1: Combine The Ingredients.,2: Shake And Strain Over Ice.,3: Lemon And/Or Cherry Flag Garnish.,4: Add Soda Water If You'D Like To Water It Down.,,,,,,,,,,,,,,,,,,,
Old Whiskey Sour,Whiskey,Cherry,Cocktail Glass,"Volstead, Austin",Old Forester Whiskey,1.5 oz,Lemon Juice,0.75 oz,Simple Syrup,0.75 oz,Bitters #9,2 dashes,,,,,,,,,,,,,,,,,,,"1: Pour the whiskey, lemon juice, bitters, and sugar syrup into a cocktail shaker with ice cubes.",2: Shake well.,3: Garnish with the cherry.,,,,,,,,,,,,,,,,,,,,
Oldest Temptation,Tequila,N/A,Cocktail Glass,N/A,Anejo Tequila,2 oz,Apple Juice,1 oz,Fresh Lemon Juice,0.5 oz,Triple Sec,0.5 oz,Simple Syrup,0.25 oz,"Angostura Bitters, Flamed Lemon Twist",1 oz,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Flame lemon twist and add.,,,,,,,,,,,,,,,,,,,,,
On the Fritz,Gin,Lemon Verbena Leaf,N/A,"Bartender: Eric Quilty, Bar: Jupiter Olympus, Location: San Francisco",Junipero Gin,1.5 oz,Chateau De Montifaud Pineau Des Charentes Blanc,0.5 oz,Lemon Verbena Cordial,0.75 oz,Lemon Juice,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake All Ingredients And Double Strain Over Fresh Ice.,2: Garnish With Lemon Verbena Leaf.,3: Lemon Verbena Cordial: -- Fresh Lemon Verbena  -- Fresh Mint -- Grapefruit Peel  -- Lemon Peel -- Pure Cane Sugar -- Citric Acid  Make A Fresh Herb And Citrus Peel Tea And Add Sugar And Citric Acid To Taste.,4: Let Cool Before Using.,,,,,,,,,,,,,,,,,,,
On the Wings of Eagles,Whiskey,Mint Sprig,Rocks Glass,"Bartender: Matthew Polzin, Bar: The Olde Bar, Location: Philadelphia",H By Hine,1.5 oz,Rye Whiskey,0.75 oz,Green Chartreuse,0.75 oz,Lemon Bitters,2 dash,Fernet-Branca,1 splash,,,,,,,,,,,,,,,,,"1: Add Cognac, Rye, Chartreuse And Bitters To A Mixing Glass With Ice, And Stir Until Cold.","2: Add Splash Of Fernet To A Rocks Glass, Roll The Glass To Coat The Sides, And Discard The Excess.","3: Add One Large Ice Cube To The Glass, Strain The Drink Over The Cube, And Garnish With A Mint Sprig.",,,,,,,,,,,,,,,,,,,,
Opaka Raka,Gin,Lime Wheel,Highball Glass,Bartender: Brian Miller,Junipero Gin,1.5 oz,Don'S Mix,1.5 oz,Lime Juice,0.75 oz,Simple Syrup,0.25 oz,Bittermens 'Elemakule Tiki Bitters,1 dash,,,,,,,,,,,,,,,,,1: Shake And Strain Into An Ice-Filled Highball Glass.,2: Garnish With A Lime Wheel.,,,,,,,,,,,,,,,,,,,,,
Opening Cocktail,Vermouth,N/A,Cocktail Glass,N/A,Grenadine,0.5 oz,Sweet Vermouth,0.5 oz,Blended Whiskey,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Opera Cocktail,Gin,N/A,Cocktail Glass,N/A,Maraschino,1 oz,Dubonnet,0.5 oz,Gin,1.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Orange Batida,N/A,N/A,N/A,N/A,Orange Juice,2.5 oz,Ypiòca,1.5 oz,,,,,,,,,,,,,,,,,,,,,,,"1: Put 1 1/2 Ounces, 2 1/2 Ounces Orange Juice, And 1-2 Tablespoons Of Sugar In A Shaker.",2: Add Ice Cubes And Shake For A Few Seconds.,3: Put In Glass And Serve.,,,,,,,,,,,,,,,,,,,,
Orange Blossom Cocktail,Gin,N/A,Cocktail Glass,N/A,Old Mr. Boston Dry Gin,1 oz,Orange Juice,1 oz,Powdered Sugar,0.25 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Orange Gin Collins,Gin,N/A,Collins Glass,N/A,Juice Of A Lemon,0.5 oz,Old Mr. Boston Orange Flavored Gin ,2 oz,,,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into collins glass.,"2: Add several cubes of ice, fill with carbonated water and stir.",3: Decorate with slices of lemon and orange and a cherry.,4: Serve with straws.,,,,,,,,,,,,,,,,,,,
Orange Gin Fizz,Gin,N/A,Highball Glass,N/A,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Old Mr. Boston Orange Flavored Gin ,2 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass with two ice cubes.,2: Fill with carbonated water and stir.,,,,,,,,,,,,,,,,,,,,,
Orange Gin Rickey,Gin,N/A,Highball Glass,N/A,Juice Of A Lime,0.5 oz,Old Mr. Boston Orange Flavored Gin ,2 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour into highball glass over ice cubes and fill with carbonated water.,2: Add wedge of lime.,3: Stir.,,,,,,,,,,,,,,,,,,,,
Orange Milk Fizz,Gin,N/A,Highball Glass,N/A,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Old Mr. Boston Orange Flavored Gin ,2 oz,Milk,2 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass over two cubes of ice.,2: Fill with carbonated water and stir.,,,,,,,,,,,,,,,,,,,,,
Orange Smile,N/A,N/A,Red-Wine Glass,N/A,Egg,1 oz,Juice Of Orange,1 oz,Grenadine,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into stem goblet.,,,,,,,,,,,,,,,,,,,,,,
Orchard Malt Mule,Beer,"Lemon Wheel, Luxardo Cherry",Collins Glass,Bartender: Kevin Diedrich,Glenrothes Vintage Reserve,2 oz,St. Elizabeth Allspice Dram,0.25 oz,Apple Cider,1 oz,Belle Brillet,0.5 oz,Lemon,0.5 oz,Angostura Bitters,2 dash,Ginger Beer,2 oz,,,,,,,,,,,,,1: Shake And 2X Strain Into A Collins Glass.,2: Garnish With A Lemon Wheel And Luxardo Cherry.,,,,,,,,,,,,,,,,,,,,,
Orchid Cocktail,Gin,N/A,Cocktail Glass,N/A,Old Mr. Boston Dry Gin,2 oz,Egg White,1 oz,Creme Yvette,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Outrigger,Brandy,N/A,Old-Fashioned Glass,N/A,Peach-Flavored Brandy,1 oz,Lime Vodka,1 oz,Pineapple Juice,1 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into old-fashioned glass over ice cubes.,,,,,,,,,,,,,,,,,,,,,,
P.T. Barnum Cocktail,Gin,Orange Or Lemon Peel,Martini Glass,N/A,No.3 London Dry Gin,1.5 oz,Luxardo Apricot Liqueur,0.5 oz,Fresh Lemon Juice,0.5 oz,Angostura Bitters,1 dash,,,,,,,,,,,,,,,,,,,1: Shake All Ingredients Well In Cocktail Shaker.,2: Strain Into Chilled Martini Glass Or Cocktail Coupe.,,,,,,,,,,,,,,,,,,,,,
PDA,Whiskey,"Cinnamon Stick, Apple",N/A,Bartender: William Golde,New York Apple Whiskey,1.5 oz,King'S Ginger Liqueur,1 oz,Lemon,0.75 oz,Lemongrass Ginger Syrup,0.5 oz,Egg White,0.5 oz,,,,,,,,,,,,,,,,,1: Muddled Ginger Root.,"2: Shaken, Served Up, Cinnamon Stick And Apple To Garnish.",,,,,,,,,,,,,,,,,,,,,
Pacific Breeze,Liqueur,Fresh Watermelon,Collins Glass,Bartender: Francesco Lafranconi,Luxardo Triplum (Triple Sec),1.5 oz,Watermelon Liqueur,0.75 oz,Cranberry Juice,3 oz,Fresh Lime Sweet N' Sour Mix,oz,,,,,,,,,,,,,,,,,,,1: Pour All Ingredients In A Shaker With Ice.,2: Shake And Strain Over Ice Into A Collins Or Pilsner Glass.,,,,,,,,,,,,,,,,,,,,,
Pacific Kick,Whisky,N/A,Old Fashioned Glass,N/A,Japanese Whisky,1 oz,Amaro Angeleno,3 oz,Luxardo Orgeat Syrup,1 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Fill Shaker With Ingredients And Ice.,2: Shake.,3: Strain Into Old Fashioned Or Rocks Glass Filled With Ice.,,,,,,,,,,,,,,,,,,,,
Pacman,N/A,N/A,Collins Glass,N/A,Lemon Juice,2 oz,Grenadine,1 oz,Bitters,1 oz,,,,,,,,,,,,,,,,,,,,,"1: Add grenadine, lemon juice, and bitters to collins filled with ice.",2: Top  with wedge of lime.,3: with ginger ale.,4: Notch an orange slice and slide down side of glass.,,,,,,,,,,,,,,,,,,,
Paddington,Absinthe,N/A,Cocktail Glass,N/A,Absinthe,1 oz,Light Rum,1.5 oz,Lillet Blanc,0.5 oz,Fresh Grapefruit Juice,0.5 oz,Fresh Lemon Juice,0.5 oz,"Orange Marmalade, Grapefruit Twist",1 oz,,,,,,,,,,,,,,,"1: Pour absinthe into chilled cocktail glass, swirl to coat inside, and discard excess.",2: Shake remaining ingredients with ice and strain into glass.,3: Add grapefruit twist.,,,,,,,,,,,,,,,,,,,,
Padova Collins,Vodka,Fresh Pear,N/A,Bartender: Francesco Lafranconi,Pear Flavored Vodka,1.5 oz,Luxardo Limoncello,0.75 oz,Luxardo Sambuca Dei Cesari,0.25 oz,Fresh Sweet N' Sour Mix,1.5 oz,Lemon Lime Soda,2 oz,,,,,,,,,,,,,,,,,1: Shake The First Four Ingredients With Ice Then Strain Into A Tall Glass Filled With Ice And Top With Lemon Lime Soda.,2: Stir And Serve.,,,,,,,,,,,,,,,,,,,,,
Palais Royal,Champagne,"Luxardo Cherry, Lemon Slice",Wine Glass,N/A,Champagne,3 oz,H By Hine,1 oz,Cherry Brandy,0.33 oz,Tsp Lemon Juice,1,,,,,,,,,,,,,,,,,,,1: Pour Ingredients Into A Wine Glass Half-Filled With Crushed Ice.,2: Garnish With A Half-Slice Of Lemon And A Maraschino Cherry.,,,,,,,,,,,,,,,,,,,,,
Palermo Breeze,N/A,"Basil Flower, Lime Flower",Collins Glass,"Bartender: Lainey Collum, Bar: Arthur Ave., Location: Houston",Luxardo Bitter Bianco,1.5 oz,Velvet Falernum,0.5 oz,Lime,0.5 oz,Passion Fruit Syrup,0.5 oz,Belstar Sparkling Rose,2 oz,,,,,,,,,,,,,,,,,1: Shake First 4 Ingredients And Strain Into Collins.,2: Top With Pebble Ice.,3: Top With The Rose.,4: Garnish With A Basil And A Lime Flower For Aromatics.,,,,,,,,,,,,,,,,,,,
Palmer Cocktail,Whiskey,N/A,Cocktail Glass,N/A,Blended Whiskey,2 oz,Bitters,1 oz,Lemon Juice,0.5 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain in cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Palmetto Cocktail,Rum,N/A,Cocktail Glass,N/A,Light Rum,1.5 oz,Dry Vermouth,1.5 oz,Angostura Bitters,2 oz,,,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Paloma (Natural),Tequila,N/A,Collins Glass,N/A,Blanco Tequila,2 oz,Fresh White Or Ruby Red Grapefruit Juice,2 oz,,,,,,,,,,,,,,,,,,,,,,,1: Pour tequila and grapefruit juice into ice-filled Collins glass.,2: Fill with soda water and stir briefly.,3: Garnish with lime wedge.,,,,,,,,,,,,,,,,,,,,
Pancho Villa,Tequila,N/A,Cocktail Glass,N/A,Anejo Tequila,1 oz,Aperol,0.75 oz,Sweet Vermouth,0.75 oz,Peach Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Stir with ice and strain into chilled cocktail glass.,2: Garnish with grapefruit twist.,,,,,,,,,,,,,,,,,,,,,
Pants off Dance off,Gin,N/A,N/A,"Bartender: Sean Gleason, Bar: Biltong Bar, Location: Atlanta",Barsol Perfecto Amor (Aperitif Wine),0.75 oz,Lime Juice,0.5 oz,Junipero Gin,1 oz,Grenadine,0.5 oz,Angostura Bitters,1 dash,Drop Bittermens Burlesque Bitters,1,,,,,,,,,,,,,,,1: Shake And Top With Anchor Steam.,,,,,,,,,,,,,,,,,,,,,,
Paradiso Sun,Gin,"Orange Wedge, Juniper Berries",Nick & Nora Glass,Bartender: Caterina Miltenberger,Junipero Gin,1.5 oz,Lime Sour,1 oz,Orange Juice,0.5 oz,Dry Curacao,0.25 oz,,,,,,,,,,,,,,,,,,,1: Add All Ingredients In A Mixing Glass With Fresh Ice.,2: Shake Vigorously And Strain Into A Nick & Nora Glass.,3: Garnish With Orange Slice And 1 Bar Spoon Juniper Berries.,,,,,,,,,,,,,,,,,,,,
Paris When It Sizzles,Liqueur,N/A,Cocktail Glass,N/A,Elderflower Liqueur,0.75 oz,Dark Rum,2 oz,Fresh Lime Juice,0.5 oz,Angostura Bitters,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,2: Garnish with lime.,,,,,,,,,,,,,,,,,,,,,
Parisian Blonde Cocktail,Rum,N/A,Cocktail Glass,N/A,Sweet Cream,0.75 oz,Old Mr. Boston Triple Sec,0.75 oz,Jamaica Rum,0.75 oz,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Party in the Agave Fields,Mezcal,Orange Peel Zest,N/A,"Bartender: Dave Guest, Location: San Francisco",Mezcal,2 oz,Luxardo Triplum (Triple Sec),0.75 oz,Luxardo Amaro Abano,0.75 oz,Tempus Fugit Abbott'S Bitters,3 dash,,,,,,,,,,,,,,,,,,,1: Stir Over 1 Large Rock.,2: Garnish With Zest Of An Orange Peel.,,,,,,,,,,,,,,,,,,,,,
Passion Daiquiri Cocktail,Rum,N/A,Cocktail Glass,N/A,Old Mr. Boston Rum,1.5 oz,Juice Of A Lime,1 oz,Powdered Sugar,1 oz,Passion Fruit Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
Peace Daiquiri,Rum,Luxardo Cherry,Coupe Glass,Bartender: Kate Grutman,Pink Pigeon Rum,1.5 oz,Luxardo Maraschino Liqueur,0.5 oz,Fresh Lime Juice,0.75 oz,Simple Syrup,0.5 oz,Fresh Grapefruit Juice,0.5 oz,,,,,,,,,,,,,,,,,1: Add All Ingredients Into Shaking Tin.,2: Add Ice Cubes To Tin.,3: Shake Vigorously And Strain Into Coupe.,4: Garnish With Luxardo Maraschino Cherry.,,,,,,,,,,,,,,,,,,,
Peach Batida,N/A,N/A,N/A,N/A,Peach Juice,3 oz,Condensed Milk,1.5 oz,Ypiòca,1.5 oz,Tbsp Sugar,1,,,,,,,,,,,,,,,,,,,"1: Put 3 Ounces Of Peach Juice, 1 1/2 Ounces Of Ypiòca, 1 1/2 Ounces Of Condensed Milk And 1 Tablespoon Of Sugar In A Shaker.","2: Add Ice Cubes, Shake Well And Serve.",,,,,,,,,,,,,,,,,,,,,
Peach Blossom,Gin,N/A,Highball Glass,N/A,Lemon Juice,1 oz,Powdered Sugar,0.5 oz,Gin,2 oz,Peach,0.5 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass over ice cubes.,2: Fill with carbonated water and stir.,,,,,,,,,,,,,,,,,,,,,
Peach Blow Fizz,Gin,N/A,Highball Glass,N/A,Juice Of A Lemon,0.5 oz,Powdered Sugar,1 oz,Light Cream,1 oz,Gin,2 oz,Peach,0.25 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into highball glass over ice cubes.,2: Fill with carbonated water and stir.,,,,,,,,,,,,,,,,,,,,,
Peach Iced Tea,Vodka,N/A,Collins Glass,N/A,Peach-Flavored Vodka,1.5 oz,Orange Curacao,0.5 oz,Fresh Lemon Juice,0.75 oz,Honey Syrup,0.5 oz,Iced Tea,2 oz,,,,,,,,,,,,,,,,,1: Shake with ice and strain into ice-filled Collins glass.,2: Garnish with peach and lemon.,,,,,,,,,,,,,,,,,,,,,
Peachy Keane,Bourbon,"Dried Peach, Candied Ginger",Old Fashioned Glass,"Bartender: Bonnie Wilson, Bar: Ida Claire, Location: Dallas",Old Forester Bourbon,1.5 oz,King'S Ginger Liqueur,0.5 oz,Giffard Crème De Pêche De Vigne,0.5 oz,Honey Syrup (Local Honey Cut 2:1 With Water),0.5 oz,Lemon Juice,0.75 oz, Egg White,1,Angostura Bitters,1 dash,,,,,,,,,,,,,1: Combine All Ingredients Except The Bitters And Dry Shake.,2: Add Ice And Shake Again.,3: Strain Over Fresh Ice Into A Double Old Fashioned Glass.,4: Dash Bitters Over The Top Of The Cocktail.,5: Garnish With A Dried Peach And A Piece Of Candied Ginger.,,,,,,,,,,,,,,,,,,
Pear Cardamom Sour,Brandy,Orange Twist,Cocktail Glass,"Andre Ellis McDade
Oliver's",Egg White,1,Lime Juice,0.5 oz,Calvados Or Applejack,1 oz,Pear Creek Brandy,1 oz,St. Germaine,1.5 oz,Of Scrappy'S Cardamom Bitters,2 dashes,Bitters #9,1 dash,,,,,,,,,,,,,1: Shake vigorously and strain through tea strainer into cocktail glass or snifter.,2: Garnish with a orange zest.,,,,,,,,,,,,,,,,,,,,,
